city,country,region,latitude,longitude,population,rent_1br_city_center,rent_3br_city_center,avg_net_salary,meal_inexpensive_restaurant,utilities_monthly_85m2,price_per_m2_city_center,internet_monthly_60mbps,monthly_pass_transport,avg_temp_c,temp_std_c,temp_trend_c,internet_users_pct,broadband_per_100,mobile_per_100,gdp_per_capita_usd,gini_index,urban_pop_pct,pop_growth_rate,rd_spending_pct_gdp,scientific_articles,high_tech_exports_pct,tertiary_enrollment_pct,adult_literacy_pct,edu_spending_pct_gdp,cwur_top_uni_score,cwur_avg_score,cwur_uni_count,cwur_patents,cwur_citations,cwur_research,times_top_uni_score,times_avg_research,times_avg_citations,times_uni_count,shanghai_top_score,shanghai_uni_count,so_developer_count,so_employed_dev_count,so_median_salary_usd,so_senior_dev_pct
Warsaw,Poland,Europe,52.25,21.0,1651676.0,793.08,1466.44,1286.21,7.89,198.99,4469.94,13.45,24.79,9.029353736586305,8.719538905763859,1.6783024955832726,83.31555273531131,22.356892740757814,131.21460788845215,17892.608872899717,28.900000000000002,59.902819905200666,-0.5748562623924083,1.3811316666666666,37809.022,10.55243426815957,72.87964375813804,,4.584351921081544,44.94,44.34111111111111,9.0,694.5555555555555,555.0,685.0,,10.12857142857143,28.542857142857144,7.0,,2.0,224.0,133.0,60000.0,69.64285714285714
Prague,Czechia,Europe,50.083333,14.466667,1154508.0,945.17,1677.54,1686.36,8.65,267.29,7798.05,22.72,23.79,8.933027765747557,8.064566419435124,1.3857079700397836,82.68312920623184,35.925452853829334,124.67674734539533,26496.97059374918,25.71666666666667,72.74601156359448,0.41882150605816465,1.8958266666666665,15651.207999999999,20.890350480510666,68.0391031901042,,4.452474021911622,46.32,44.68,5.0,635.2,515.6,655.2,,14.38888888888889,39.75555555555556,9.0,,1.0,139.0,75.0,65528.0,78.41726618705036
Budapest,Hungary,Europe,47.5,19.083333,1708088.0,492.44,886.09,974.48,8.23,154.04,3407.13,12.82,24.43,10.872391228513347,8.821267984111874,0.9884806221466107,85.07515651692574,34.30138556398845,104.97437038240867,18282.35542201602,,70.31269554868943,-0.2321938343450898,1.491445,7840.846,17.554914663052084,56.48385747273763,,4.277003955841065,44.92,44.41166666666667,6.0,575.8333333333334,582.5,709.1666666666666,,11.216666666666667,26.416666666666668,6.0,,1.0,76.0,53.0,48609.0,80.26315789473685
Lisbon,Portugal,Europe,38.716667,-9.133333,517798.0,1242.34,2149.25,1125.31,12.64,130.77,5757.09,35.58,42.15,17.014030458565266,4.886094141450322,-1.0244890380056155,80.14417796160366,40.61645281467194,118.30866471889384,24358.41608160935,34.300000000000004,61.12806777752787,0.44366334529564205,1.567995,17586.735999999997,6.54862061747809,70.77053705851237,,4.69920597076416,46.43,44.95428571428572,7.0,477.14285714285717,480.14285714285717,467.0,,23.785714285714285,41.285714285714285,7.0,,3.0,64.0,48.0,63808.0,76.5625
New York,USA,Americas,40.7141667,-74.0063889,8107916.0,3851.51,7146.84,5944.31,25.0,180.61,14784.44,69.77,129.0,,,,90.96606513045386,35.86616380999083,106.77204724514716,69776.13936928129,41.15,80.0866538923035,0.5124207190131268,3.3256383333333335,457203.034,19.831678760656516,85.59451293945311,,5.167044997215273,100.0,50.05813852813853,231.0,367.8787878787879,321.9264069264069,416.0735930735931,,,,,,,2135.0,1609.0,150000.0,80.23419203747073
San Francisco,USA,Americas,37.775,-122.4183333,732072.0,,,,,,,,,14.107685917578646,3.1439147090693744,0.7739254554785742,90.96606513045386,35.86616380999083,106.77204724514716,69776.13936928129,41.15,80.0866538923035,0.5124207190131268,3.3256383333333335,457203.034,19.831678760656516,85.59451293945311,,5.167044997215273,100.0,50.05813852813853,231.0,367.8787878787879,321.9264069264069,416.0735930735931,,,,,,,2135.0,1609.0,150000.0,80.23419203747073
Los Angeles,USA,Americas,34.0522222,-118.2427778,3877129.0,2527.29,4630.53,5456.15,20.0,140.05,9219.44,67.95,99.5,17.118407619596677,3.2849812140553483,0.7489987215736775,90.96606513045386,35.86616380999083,106.77204724514716,69776.13936928129,41.15,80.0866538923035,0.5124207190131268,3.3256383333333335,457203.034,19.831678760656516,85.59451293945311,,5.167044997215273,100.0,50.05813852813853,231.0,367.8787878787879,321.9264069264069,416.0735930735931,,,,,,,2135.0,1609.0,150000.0,80.23419203747073
Chicago,USA,Americas,41.85,-87.65,2841952.0,1969.12,3972.22,4819.49,20.0,163.78,3498.0,62.56,80.0,10.344092416378317,10.928694148187107,-0.043735957269662507,90.96606513045386,35.86616380999083,106.77204724514716,69776.13936928129,41.15,80.0866538923035,0.5124207190131268,3.3256383333333335,457203.034,19.831678760656516,85.59451293945311,,5.167044997215273,100.0,50.05813852813853,231.0,367.8787878787879,321.9264069264069,416.0735930735931,,,,,,,2135.0,1609.0,150000.0,80.23419203747073
Toronto,Canada,Americas,43.666667,-79.416667,4612187.0,1728.5,2733.4,3249.79,18.53,127.96,9834.67,54.91,115.62,8.826630920464702,10.532661315562885,,93.48921798666667,41.00026259800775,89.59619203286405,49965.612611354154,31.360000000000003,82.04841072077916,1.5402991491979103,1.82019,66452.544,16.195052508454566,75.4306271870931,,4.8285440444946275,60.04,46.78454545454546,33.0,528.7272727272727,342.8787878787879,419.6969696969697,83.9,36.244,58.872,25.0,40.6,19.0,424.0,299.0,91198.0,79.24528301886792
Vancouver,Canada,Americas,49.25,-123.133333,1837970.0,1799.96,3373.09,3474.89,18.16,91.93,9983.22,62.95,95.24,10.490776066443722,5.655714725533085,,93.48921798666667,41.00026259800775,89.59619203286405,49965.612611354154,31.360000000000003,82.04841072077916,1.5402991491979103,1.82019,66452.544,16.195052508454566,75.4306271870931,,4.8285440444946275,60.04,46.78454545454546,33.0,528.7272727272727,342.8787878787879,419.6969696969697,83.9,36.244,58.872,25.0,40.6,19.0,424.0,299.0,91198.0,79.24528301886792
Mexico City,Mexico,Americas,19.4326,-99.1332,9209944.0,766.53,1480.77,718.92,7.74,48.85,2769.15,26.67,15.69,17.03398940652462,2.5799307455137286,0.8641171654616535,72.20395371810831,18.0862636984065,101.16194760872914,10812.737394274647,44.699999999999996,78.77777414344445,0.8349836139707887,0.2773466666666667,19863.612,20.190936245883982,44.89655049641925,95.443788104401,4.234304904937745,45.58,44.92,2.0,553.0,398.0,386.0,,26.450000000000003,19.1,2.0,,1.0,55.0,41.0,31583.0,63.63636363636363
